,spatial None PL train,spatial None PL val,spatial X_st rnd d_c train,spatial X_st rnd d_c val,spatial X_st min d_c train,spatial X_st min d_c val,spatial X_st max d_c train,spatial X_st max d_c val,spatial X_st avg d_c train,spatial X_st avg d_c val,"spatial X_(t,s) rnd d_c train","spatial X_(t,s) rnd d_c val","spatial X_(t,s) min d_c train","spatial X_(t,s) min d_c val","spatial X_(t,s) max d_c train","spatial X_(t,s) max d_c val","spatial X_(t,s) avg d_c train","spatial X_(t,s) avg d_c val","spatial Y_hat_(t,s) rnd d_c train","spatial Y_hat_(t,s) rnd d_c val","spatial Y_hat_(t,s) min d_c train","spatial Y_hat_(t,s) min d_c val","spatial Y_hat_(t,s) max d_c train","spatial Y_hat_(t,s) max d_c val","spatial Y_hat_(t,s) avg d_c train","spatial Y_hat_(t,s) avg d_c val","spatial Y_(t,s) rnd d_c train","spatial Y_(t,s) rnd d_c val","spatial Y_(t,s) min d_c train","spatial Y_(t,s) min d_c val","spatial Y_(t,s) max d_c train","spatial Y_(t,s) max d_c val","spatial Y_(t,s) avg d_c train","spatial Y_(t,s) avg d_c val"
18,0.373107850551605,0.937118232250214,0.935880839824676,0.648935854434967,0.549822926521301,0.606040060520172,2.44386672973633,0.79601776599884,0.605075776576996,0.72976553440094,0.218508273363113,0.779274165630341,1.33212769031525,0.598165571689606,1.10807049274445,0.647281587123871,1.87946248054504,0.687403380870819,5.656174659729,0.743770003318787,4.63603162765503,0.551413893699646,0.21352881193161,1.3753000497818,0.324349343776703,0.979700446128845,1.63956904411316,0.751796305179596,2.4726767539978,0.682204306125641,2.10898399353027,0.99166738986969,2.1465175151825,0.684268176555633
19,0.318143218755722,0.746137976646423,0.964031338691711,0.605913758277893,0.568342745304108,0.554762363433838,2.37451529502869,0.811229109764099,1.58894145488739,0.603262186050415,1.46465587615967,0.701033473014831,1.12173128128052,0.636685848236084,0.859362483024597,0.610521554946899,1.40771090984344,0.623683631420136,5.15237092971802,0.685335755348206,4.37414026260376,0.52288544178009,7.12454748153687,0.783035576343536,0.229616567492485,0.929596781730652,1.59720158576965,0.58235639333725,2.35446548461914,0.568102777004242,1.74957513809204,0.711516857147217,2.5515661239624,0.680109262466431
20,0.236213177442551,0.825884819030762,0.908092319965362,0.56028813123703,0.504430294036865,0.625375330448151,2.24629735946655,0.767903625965118,1.12142932415009,0.608191847801209,1.15880310535431,0.871255576610565,1.07235205173492,0.711381852626801,0.867726564407349,0.641304433345795,1.18639242649078,0.634178340435028,4.56611442565918,0.993780136108398,3.83886075019836,0.819875240325928,5.56848573684692,0.748580396175385,0.220321476459503,0.9510218501091,1.54866230487824,0.579728901386261,2.07654690742493,0.594614863395691,1.59999561309814,0.683227598667145,1.89501428604126,0.70736825466156
21,0.177821934223175,0.833766281604767,0.89814168214798,0.657666027545929,0.386830389499664,0.677883744239807,2.07426333427429,1.35211503505707,0.966279983520508,0.680473744869232,0.964071452617645,0.673906326293945,0.859524607658386,0.636301875114441,0.641610741615295,0.653775691986084,0.937057495117188,0.640623927116394,4.58970594406128,0.711238563060761,3.53069806098938,0.529381811618805,5.11175060272217,0.645179033279419,7.51871728897095,0.842549622058868,1.42977845668793,0.543329834938049,1.97435200214386,0.588728964328766,1.64445292949677,0.822255849838257,1.95424723625183,0.788492023944855
22,0.163962528109551,0.810573279857636,0.815237760543823,0.65841156244278,0.442229598760605,0.625744163990021,1.88274741172791,1.39294230937958,0.782895863056183,0.662077009677887,0.814445853233337,0.640169203281403,0.805487155914306,0.638202846050262,0.612223744392395,0.653027057647705,0.886730372905731,0.770181357860565,4.34208965301514,0.615013718605042,3.51340818405151,0.514836549758911,4.67127418518066,0.604712009429932,5.6767783164978,0.778597354888916,1.48417139053345,0.651802539825439,1.88808846473694,0.610371172428131,1.52675306797028,0.700232148170471,1.74461531639099,0.659788966178894
23,0.136505052447319,0.86943769454956,0.901994347572327,0.568432748317719,0.381261378526688,0.593473315238953,2.27960467338562,0.727609395980835,0.765260875225067,1.06494474411011,0.699692130088806,0.668345153331757,0.70177036523819,0.644934177398682,0.531568050384522,0.613481104373932,0.752228438854218,0.66572916507721,3.88582253456116,0.65108984708786,3.17452883720398,0.494185656309128,4.3273344039917,0.603436172008514,5.35967016220093,0.742622196674347,1.22500872612,0.68025529384613,1.76316618919373,0.608296990394592,1.51652765274048,0.705800831317902,1.73649489879608,0.729029595851898
24,0.13876174390316,0.831943452358246,0.739975273609161,0.653059005737305,0.387083202600479,0.570997834205627,1.95301711559296,0.849572479724884,0.878155052661896,0.642488837242126,0.570841014385223,0.706953942775726,0.628701388835907,0.691234707832336,0.512541830539703,0.634952247142792,0.69745671749115,0.732449114322662,3.88543748855591,0.61858081817627,2.70269751548767,0.625799655914307,3.92084717750549,0.573510348796845,4.99638175964356,0.883073151111603,1.25720381736755,0.677031457424164,1.66556835174561,0.647360980510712,1.66583800315857,0.63992840051651,1.59487092494965,0.661839425563812
25,0.113284632563591,0.856359720230102,0.770183742046356,0.575835108757019,0.399639040231705,0.572315275669098,1.98615503311157,0.633338868618012,0.657183289527893,0.667396128177643,0.552559971809387,0.766670942306519,0.603860318660736,0.691584050655365,0.455491960048676,0.625973463058472,0.583442449569702,0.705268979072571,3.63604998588562,0.59847903251648,2.45671081542969,0.489032983779907,3.57781410217285,0.577273368835449,4.69045257568359,0.742670059204102,1.25296270847321,0.608687341213226,1.61411392688751,0.658653318881989,1.58343982696533,0.58330225944519,1.63658320903778,0.691408753395081
26,0.131278350949287,0.809599041938782,0.683603882789612,0.585590064525604,0.329143762588501,0.577874660491943,1.73984289169312,0.644113421440125,0.647909164428711,0.699008524417877,0.490258753299713,0.667713701725006,0.4808149933815,0.695959031581879,0.412312656641007,0.731399059295654,0.542036712169647,0.680083453655243,3.14264678955078,0.572161912918091,2.40168023109436,0.490166574716568,3.07111549377441,0.545726597309112,4.2403769493103,0.703299105167389,1.17998540401459,0.627985596656799,1.56897151470184,0.650465607643127,1.52549433708191,0.582368910312653,1.51262652873993,0.673632800579071
27,0.10444463044405,0.85452127456665,0.69268810749054,0.596288800239563,0.344992280006409,0.592157542705536,1.67554438114166,0.956700325012207,0.609175205230713,0.663987398147583,0.50674307346344,0.676987648010254,0.453536927700043,0.697229444980621,0.399494111537933,0.661761045455933,0.54819256067276,0.711945593357086,2.76786804199219,0.591101288795471,2.26250863075256,0.514023065567017,3.13203382492065,0.540635108947754,3.99615907669067,0.701397061347961,1.0995284318924,0.577452778816223,1.50896418094635,0.530754148960114,1.33997404575348,0.60224324464798,1.44885277748108,0.637670278549194
28,0.110462859272957,0.89568281173706,0.654933154582977,0.613711416721344,0.332229316234589,0.584405422210693,1.51581823825836,0.789332330226898,0.628074884414673,0.643075466156006,0.459788948297501,0.674827396869659,0.562713146209717,0.653972744941711,0.491392761468887,0.633461773395538,0.464998245239258,0.656257331371307,2.65938472747803,0.581978976726532,2.21118307113647,0.493858247995377,2.67786908149719,0.537500262260437,3.69293642044067,0.686541557312012,1.02917230129242,0.623042225837708,1.45554637908936,0.633603394031525,1.33390235900879,0.625255525112152,1.44718110561371,0.681093096733093
