,spatio-temporal X_st rnd d_c train,spatio-temporal X_st rnd d_c val,spatio-temporal X_st min d_c train,spatio-temporal X_st min d_c val,spatio-temporal X_st max d_c train,spatio-temporal X_st max d_c val,spatio-temporal X_st avg d_c train,spatio-temporal X_st avg d_c val,"spatio-temporal X_(t,s) rnd d_c train","spatio-temporal X_(t,s) rnd d_c val","spatio-temporal X_(t,s) min d_c train","spatio-temporal X_(t,s) min d_c val","spatio-temporal X_(t,s) max d_c train","spatio-temporal X_(t,s) max d_c val","spatio-temporal X_(t,s) avg d_c train","spatio-temporal X_(t,s) avg d_c val","spatio-temporal Y_hat_(t,s) rnd d_c train","spatio-temporal Y_hat_(t,s) rnd d_c val","spatio-temporal Y_hat_(t,s) min d_c train","spatio-temporal Y_hat_(t,s) min d_c val","spatio-temporal Y_hat_(t,s) max d_c train","spatio-temporal Y_hat_(t,s) max d_c val","spatio-temporal Y_hat_(t,s) avg d_c train","spatio-temporal Y_hat_(t,s) avg d_c val","spatio-temporal Y_(t,s) rnd d_c train","spatio-temporal Y_(t,s) rnd d_c val","spatio-temporal Y_(t,s) min d_c train","spatio-temporal Y_(t,s) min d_c val","spatio-temporal Y_(t,s) max d_c train","spatio-temporal Y_(t,s) max d_c val","spatio-temporal Y_(t,s) avg d_c train","spatio-temporal Y_(t,s) avg d_c val"
39,0.14978868,0.23303251,0.13312165,0.24858989,0.09023312,0.34214708,0.09982168,0.3462799,0.14658028,0.22145686,0.17587909,0.21240368,0.12032191,0.24264884,0.29199734,0.21135543,0.24239919,0.18648542,0.24962059,0.17484152,0.29631835,0.17668033,0.42630827,0.14701065,0.34488368,0.17979424,0.38035628,0.27028698,0.5309564,0.46168846,0.4646789,0.37241778
40,0.14686345,0.22403869,0.1290694,0.23578948,0.089532964,0.3576005,0.09627546,0.35134926,0.1460696,0.21884581,0.16725528,0.21775548,0.11145929,0.23801051,0.24868874,0.20611326,0.2353927,0.54793644,0.24217904,0.17815559,0.29043412,0.17846723,0.3968077,0.147057,0.33446413,0.17431846,0.36486858,0.28669938,0.50918925,0.43684095,0.4415654,0.35071635
41,0.14117002,0.23592411,0.120404296,0.23928623,0.08623239,0.3475119,0.09471514,0.34618446,0.13756424,0.2280239,0.15863547,0.21318223,0.1141709,0.24057029,0.22146972,0.20760362,0.4546833,0.15880406,0.4496831,0.15294099,0.27955297,0.18649109,0.371916,0.14496927,0.31759834,0.18922606,0.3492253,0.28123263,0.47883648,0.5124104,0.42286465,0.40812945
42,0.13512616,0.22983111,0.11584107,0.24187036,0.08440451,0.3495007,0.09245518,0.3487688,0.13248745,0.22941811,0.15054663,0.21862142,0.10359142,0.244466,0.20669581,0.21158664,0.38838056,0.15884107,0.38592207,0.15066712,0.2702733,0.18698798,0.34825873,0.14319697,0.3103384,0.1799795,0.33660266,0.3186081,0.46383473,0.49321562,0.40875593,0.3868428
43,0.13099873,0.2249249,0.109011896,0.24863406,0.08405047,0.34713554,0.08975028,0.3455174,0.13148776,0.22023061,0.14774823,0.21907094,0.10292954,0.24103,0.19496769,0.21225435,0.35457382,0.15906546,0.35539913,0.15152222,0.26273128,0.18093182,0.33046478,0.14668332,0.2988051,0.18920526,0.31922966,0.29790384,0.44164476,0.44064948,0.39361098,0.35276726
44,0.12563577,0.23465255,0.1035397,0.24594653,0.13750868,0.33668184,0.08869003,0.3466055,0.27445334,0.20212045,0.14042723,0.2180576,0.10119747,0.24250753,0.18768606,0.20451187,0.33086067,0.15840772,0.33069232,0.15479603,0.49269068,0.15258443,0.31302443,0.15042074,0.29070932,0.17814957,0.30999884,0.30692583,0.43261918,0.47252953,0.3781022,0.38246825
45,0.120749645,0.23603989,0.103861004,0.24762599,0.1201597,0.3442105,0.085695654,0.3503685,0.22963442,0.21386766,0.13568005,0.22317399,0.22604822,0.22117826,0.17705263,0.20548868,0.3124155,0.15455905,0.31736958,0.1548616,0.41956726,0.14940153,0.30496296,0.14859927,0.28102407,0.18940237,0.30003408,0.30794576,0.41272935,0.47663778,0.36469418,0.37499285
46,0.11931374,0.23737831,0.09974044,0.25496137,0.109971344,0.3456658,0.083965346,0.3463789,0.20667592,0.19824621,0.13181753,0.2232296,0.19020073,0.22180024,0.16521873,0.21455574,0.29736203,0.16052258,0.29990095,0.15400372,0.38776058,0.14934541,0.28518802,0.15228003,0.27581736,0.18555927,0.29258537,0.2844789,0.4030257,0.47138956,0.35520855,0.39979964
47,0.1163755,0.24134715,0.09573561,0.252816,0.106662944,0.34392616,0.08225091,0.34703538,0.1937714,0.20351687,0.23791185,0.2150132,0.1747626,0.22099738,0.16645588,0.20776764,0.28610775,0.15737921,0.2889621,0.15320727,0.35764328,0.151099,0.27678105,0.15017545,0.2655227,0.1971609,0.28190997,0.38448146,0.3837233,0.46250674,0.54991853,0.32828373
48,0.20188633,0.22886148,0.14687498,0.23684548,0.09778955,0.34878784,0.12507321,0.34218028,0.18135603,0.20065907,0.20294677,0.1971299,0.16096158,0.22395867,0.15383407,0.21689638,0.27018446,0.16154324,0.2773141,0.1567586,0.33461803,0.151903,0.26811576,0.15481265,0.25360578,0.19421215,0.2730733,0.30259055,0.37702507,0.47233516,0.48050708,0.34022564
49,0.17616968,0.21693979,0.12870094,0.22646308,0.09751672,0.34482953,0.11370409,0.33623615,0.1700526,0.20806369,0.19034518,0.19855084,0.15157972,0.224456,0.14888804,0.2214792,0.25812587,0.15681951,0.26371565,0.15687487,0.31893632,0.153805,0.258256,0.15326719,0.25146037,0.19176443,0.26368624,0.2860878,0.57395345,0.4259731,0.4432614,0.3279888
50,0.16070624,0.21934704,0.120272905,0.24153143,0.09116352,0.35692394,0.10577766,0.33912322,0.1619837,0.2053683,0.1768646,0.20065008,0.14597318,0.22237587,0.16220927,0.22355744,0.24994454,0.16124393,0.2545678,0.15123104,0.3060335,0.15598749,0.24997605,0.15477048,0.24293028,0.19400063,0.49398035,0.25887278,0.5089227,0.39051476,0.41694808,0.32789743
51,0.14888903,0.21915683,0.11321026,0.24180019,0.08935324,0.3545518,0.10092529,0.3424415,0.15468155,0.2057356,0.16580613,0.20311944,0.13560084,0.2348474,0.13633913,0.21686603,0.24270041,0.1608284,0.24481495,0.16054225,0.28829262,0.15295446,0.24302168,0.15295003,0.49309024,0.18022488,0.4216326,0.27884874,0.4731425,0.47082713,0.39604443,0.30216792
52,0.1445302,0.21622093,0.106247984,0.24762703,0.08633082,0.35697806,0.09592117,0.34116462,0.14682317,0.20890719,0.16177069,0.2033378,0.13037558,0.22632219,0.1343503,0.21194634,0.22632778,0.16348988,0.23626985,0.16322273,0.27814716,0.15181047,0.23579489,0.15342206,0.42717567,0.17228013,0.3936099,0.26820672,0.44638026,0.49551642,0.3844923,0.33730167
