,spatio-temporal X_st rnd d_c train,spatio-temporal X_st rnd d_c val,spatio-temporal X_st min d_c train,spatio-temporal X_st min d_c val,spatio-temporal X_st max d_c train,spatio-temporal X_st max d_c val,spatio-temporal X_st avg d_c train,spatio-temporal X_st avg d_c val,"spatio-temporal X_(t,s) rnd d_c train","spatio-temporal X_(t,s) rnd d_c val","spatio-temporal X_(t,s) min d_c train","spatio-temporal X_(t,s) min d_c val","spatio-temporal X_(t,s) max d_c train","spatio-temporal X_(t,s) max d_c val","spatio-temporal X_(t,s) avg d_c train","spatio-temporal X_(t,s) avg d_c val","spatio-temporal Y_hat_(t,s) rnd d_c train","spatio-temporal Y_hat_(t,s) rnd d_c val","spatio-temporal Y_hat_(t,s) min d_c train","spatio-temporal Y_hat_(t,s) min d_c val","spatio-temporal Y_hat_(t,s) max d_c train","spatio-temporal Y_hat_(t,s) max d_c val","spatio-temporal Y_hat_(t,s) avg d_c train","spatio-temporal Y_hat_(t,s) avg d_c val","spatio-temporal Y_(t,s) rnd d_c train","spatio-temporal Y_(t,s) rnd d_c val","spatio-temporal Y_(t,s) min d_c train","spatio-temporal Y_(t,s) min d_c val","spatio-temporal Y_(t,s) max d_c train","spatio-temporal Y_(t,s) max d_c val","spatio-temporal Y_(t,s) avg d_c train","spatio-temporal Y_(t,s) avg d_c val"
70,0.718892,0.8094784,0.91734123,0.7452512,0.49152547,0.7890712,0.6032873,0.8352543,0.63180256,0.81976277,1.3186492,0.6968059,0.9912486,0.68210065,0.89373714,0.7671198,0.9271695,0.6053387,1.0558368,0.6460824,0.9244107,0.6516158,1.012715,0.643662,0.916799,0.62146276,1.0086018,0.9171961,1.0734882,0.6773,0.8453156,0.734783
71,0.6687669,0.86085755,0.8400027,0.75460505,0.48251727,0.8373852,0.57648396,0.87772936,1.6003116,0.65443534,1.144573,0.6093246,0.9415183,0.678118,0.84329444,0.7503273,0.81553006,0.5971957,0.9886351,0.60938096,0.8870459,0.6418431,0.93161076,0.6430412,0.8499468,0.6459932,0.9221274,0.6808822,0.98055524,0.6733755,0.7795612,0.7330659
72,0.7113315,0.80560595,0.7970379,0.8066248,0.45499894,0.81028473,0.5385805,0.88008505,1.2265766,0.68970877,1.0177823,0.60875547,0.8470548,0.73179483,0.75243324,0.76996636,0.82760787,0.6033565,0.9770633,0.6346473,0.8236183,0.6627937,0.89791226,0.6390553,0.8024134,0.69878805,0.9098278,0.66242844,0.94658405,0.6521575,0.78436315,0.6993154
73,0.63298315,0.8211033,0.77804077,0.788616,1.4875854,0.71434325,0.54777354,0.8500966,1.0471067,0.6620679,0.97791904,0.61292607,0.81218535,0.78361195,0.7634693,0.7610425,0.7808594,0.6649697,0.92526203,0.63422817,0.8243943,0.6227082,0.8673578,0.6238107,0.77805823,0.71049595,0.83818513,0.6689284,0.89164305,0.6717753,0.7012803,0.6972373
74,0.577159,0.8701166,0.7110392,0.8320821,1.165788,0.69537973,1.3971773,0.7589419,0.95831233,0.6868247,0.87950015,0.6117197,0.8257538,0.7078494,0.70755565,0.7908251,0.743643,0.63319755,0.8843906,0.5963194,0.7310995,0.62984306,0.7870881,0.6221409,0.72957134,0.65527976,0.8124057,0.71684057,0.844348,0.6590804,0.65688795,0.69304353
75,0.55421376,0.81332785,0.65939176,0.886664,1.0256925,0.7055308,1.0720794,0.80806595,0.9218751,0.7665835,0.854593,0.6146682,0.74277335,0.7212976,0.64783126,0.8273435,1.689347,0.52380306,0.8455425,0.6201256,0.73486865,0.6175772,0.7991005,0.65349925,0.7386188,0.64614576,0.7185744,0.75933117,0.90301484,0.69171953,0.63534385,0.67885196
76,0.5504166,0.80364555,0.6773895,0.7815739,0.91366136,0.70761824,0.9084202,0.80543256,0.85256624,0.7084467,0.7975102,0.6491365,0.6946205,0.7499982,1.7227361,0.7565747,1.2708032,0.51155317,0.81227684,0.63564974,0.7055819,0.6351342,0.7575276,0.61386466,0.6811719,0.6445058,0.7323653,0.7070226,0.8348457,0.7085118,0.6124629,0.7143378
77,0.51231664,0.8356385,0.62054956,0.83584124,0.845842,0.72606325,0.7779716,0.7853736,0.81197095,0.78396165,0.7683802,0.64027333,0.70394194,0.7121545,1.3424437,0.66412723,1.1745093,0.50653595,0.7919408,0.62520236,0.67122614,0.61441237,0.72636396,0.6258023,0.67149025,0.7043396,1.7563723,0.71115965,0.79472816,0.66735756,1.723262,0.6314118
78,1.6842625,0.6986136,0.6041212,0.8320213,0.8241187,0.7193485,0.75830954,0.7991012,0.76745343,0.6750162,0.71130437,0.6718867,1.8316557,0.5864981,1.1976779,0.7008751,0.98497885,0.5269285,0.73914576,0.6133313,0.6468562,0.655523,0.722924,0.6424417,1.6970366,0.5401793,1.4389344,0.5879376,1.5866088,0.6050613,1.2991637,0.5932758
79,1.2415628,0.74201506,0.537668,0.79546237,0.8360881,0.7531163,0.69928366,0.8093013,0.76137257,0.7273364,0.6803024,0.63721913,1.3525417,0.5869617,1.0840313,0.7914648,0.93916965,0.5407856,1.7245169,0.53590584,0.61581475,0.62456053,1.7531016,0.5042336,1.4323703,0.66105896,1.2477053,0.55373484,1.3187858,0.68282217,1.126608,0.56515896
80,1.061426,0.7368718,0.52837104,0.82090586,0.70005715,0.7590747,0.63356215,0.8115986,0.7256956,0.6992682,0.65282923,0.6496949,1.2320565,0.5828969,1.001023,0.6511861,0.8387109,0.54083556,1.3884819,0.51654744,1.7479769,0.51676834,1.3447179,0.49901393,1.2628735,0.5440576,1.1599488,0.5489478,1.1933674,0.6422495,0.96513873,0.5878111
