,temporal X_st rnd d_c train,temporal X_st rnd d_c val,temporal X_st min d_c train,temporal X_st min d_c val,temporal X_st max d_c train,temporal X_st max d_c val,temporal X_st avg d_c train,temporal X_st avg d_c val,"temporal X_(t,s) rnd d_c train","temporal X_(t,s) rnd d_c val","temporal X_(t,s) min d_c train","temporal X_(t,s) min d_c val","temporal X_(t,s) max d_c train","temporal X_(t,s) max d_c val","temporal X_(t,s) avg d_c train","temporal X_(t,s) avg d_c val","temporal Y_hat_(t,s) rnd d_c train","temporal Y_hat_(t,s) rnd d_c val","temporal Y_hat_(t,s) min d_c train","temporal Y_hat_(t,s) min d_c val","temporal Y_hat_(t,s) max d_c train","temporal Y_hat_(t,s) max d_c val","temporal Y_hat_(t,s) avg d_c train","temporal Y_hat_(t,s) avg d_c val","temporal Y_(t,s) rnd d_c train","temporal Y_(t,s) rnd d_c val","temporal Y_(t,s) min d_c train","temporal Y_(t,s) min d_c val","temporal Y_(t,s) max d_c train","temporal Y_(t,s) max d_c val","temporal Y_(t,s) avg d_c train","temporal Y_(t,s) avg d_c val"
36,0.15287247,0.2449946,0.20835471,0.24600284,0.13184841,0.29146448,0.14887685,0.29452223,0.14398654,0.23406307,0.13236372,0.27184397,0.13099475,0.25045362,0.17510921,0.25306195,0.25210166,0.1855223,0.2905858,0.18715623,0.3049546,0.16463508,0.3017131,0.17279798,0.24742311,0.18002503,0.3521034,0.20722999,0.5203705,0.23079701,0.29910642,0.2174387
37,0.14311515,0.26184136,0.17926325,0.24750128,0.13061793,0.29996806,0.13968998,0.3124988,0.1374807,0.23314235,0.14250341,0.2466317,0.12408512,0.25099078,0.16673718,0.2462686,0.25382748,0.18590681,0.27152556,0.19387229,0.2787207,0.16609512,0.2760257,0.17696851,0.22862428,0.18500267,0.3314921,0.213208,0.47176248,0.24035625,0.6347737,0.18493243
38,0.13343427,0.25244644,0.16223828,0.25458285,0.12484695,0.28296047,0.1370257,0.2736459,0.12758099,0.23547147,0.12026774,0.26195523,0.108768925,0.26691908,0.1614356,0.2349666,0.22439389,0.18581665,0.25256574,0.19040187,0.5916026,0.13996524,0.26500595,0.17787156,0.52517164,0.15465555,0.3202874,0.1922575,0.4376995,0.27991334,0.52317405,0.19682327
39,0.12774576,0.25182298,0.15361494,0.251968,0.112441435,0.3197191,0.123734914,0.2874682,0.120407395,0.23831354,0.118145674,0.2632293,0.1058435,0.24992727,0.14932631,0.23868291,0.22458382,0.18800333,0.2459368,0.2014919,0.46691436,0.14283474,0.254043,0.1749695,0.42115828,0.15458456,0.3017752,0.21174459,0.41307607,0.25055608,0.47211435,0.20964333
40,0.121269375,0.25468275,0.1383833,0.2586184,0.1190041,0.2954132,0.12160392,0.29252192,0.32487255,0.20290026,0.11446147,0.25409886,0.10114158,0.25267053,0.13952558,0.23701906,0.537176,0.15408269,0.23924461,0.20521171,0.4331827,0.1411024,0.23493366,0.17600822,0.37949485,0.15760721,0.28780887,0.19942258,0.3925838,0.24276765,0.4354547,0.18803102
41,0.11530135,0.25937733,0.12998587,0.2688735,0.11458047,0.29358622,0.12173186,0.2835198,0.2458709,0.20564732,0.10432546,0.2590619,0.09100735,0.25730485,0.30970535,0.20491762,0.42680678,0.1556177,0.22329098,0.1978481,0.4016865,0.14197876,0.55969393,0.14492154,0.3378758,0.15266182,0.2725961,0.20302351,0.3676066,0.252158,0.40871343,0.20172837
42,0.104598254,0.26094434,0.11807535,0.26012948,0.20133702,0.27610657,0.1123981,0.29325098,0.21908619,0.20784372,0.10028754,0.25606784,0.09135187,0.25413513,0.25357065,0.20720933,0.37662554,0.15288119,0.21427895,0.19949025,0.36834902,0.14351846,0.44952455,0.14484556,0.31475112,0.15948552,0.55812806,0.18503095,0.35322827,0.2614412,0.39152563,0.1919124
43,0.291461,0.22758284,0.117861256,0.25654024,0.16286364,0.28085265,0.17376952,0.268368,0.19683038,0.20925522,0.09478106,0.26082072,0.29422125,0.23213317,0.21924119,0.20881045,0.34372017,0.15276788,0.47340876,0.16326854,0.35300148,0.14323425,0.40321025,0.1484881,0.29129907,0.1574328,0.44373605,0.17887302,0.34586546,0.3007149,0.36406013,0.21118434
44,0.23948148,0.22895615,0.11004488,0.26321504,0.15074037,0.27284294,0.13946585,0.27090448,0.17102714,0.20270549,0.09314217,0.2697158,0.23096552,0.22848818,0.185591,0.21570702,0.30042234,0.16098547,0.37198755,0.16096252,0.31817386,0.14499135,0.35909605,0.14558297,0.27134636,0.16070983,0.40659463,0.1832608,0.3222988,0.2693794,0.34908253,0.22213992
45,0.20787933,0.23553777,0.105093434,0.27205998,0.13734324,0.26747224,0.12923667,0.27323928,0.17285818,0.20386976,0.09110018,0.2578848,0.19008708,0.22542597,0.16702236,0.21312256,0.29150927,0.15598957,0.33368173,0.16964535,0.30652374,0.14376685,0.32437944,0.15092029,0.26342943,0.15505221,0.36612496,0.19915234,0.31177157,0.2917387,0.34236318,0.22567147
