,spatial None PL train,spatial None PL val,spatial X_st rnd d_c train,spatial X_st rnd d_c val,spatial X_st min d_c train,spatial X_st min d_c val,spatial X_st max d_c train,spatial X_st max d_c val,spatial X_st avg d_c train,spatial X_st avg d_c val,"spatial X_(t,s) rnd d_c train","spatial X_(t,s) rnd d_c val","spatial X_(t,s) min d_c train","spatial X_(t,s) min d_c val","spatial X_(t,s) max d_c train","spatial X_(t,s) max d_c val","spatial X_(t,s) avg d_c train","spatial X_(t,s) avg d_c val","spatial Y_hat_(t,s) rnd d_c train","spatial Y_hat_(t,s) rnd d_c val","spatial Y_hat_(t,s) min d_c train","spatial Y_hat_(t,s) min d_c val","spatial Y_hat_(t,s) max d_c train","spatial Y_hat_(t,s) max d_c val","spatial Y_hat_(t,s) avg d_c train","spatial Y_hat_(t,s) avg d_c val","spatial Y_(t,s) rnd d_c train","spatial Y_(t,s) rnd d_c val","spatial Y_(t,s) min d_c train","spatial Y_(t,s) min d_c val","spatial Y_(t,s) max d_c train","spatial Y_(t,s) max d_c val","spatial Y_(t,s) avg d_c train","spatial Y_(t,s) avg d_c val"
13,0.1775374859571457,0.3252924084663391,0.4261786937713623,0.261247843503952,0.43570172786712646,0.26756808161735535,0.4118518829345703,0.29984191060066223,0.39452025294303894,0.30244868993759155,0.22631217539310455,0.30155816674232483,0.21523000299930573,0.2979466915130615,0.24160048365592957,0.31934070587158203,0.2345103621482849,0.28531551361083984,0.37821725010871887,0.31775546073913574,0.4056412875652313,0.27481937408447266,0.37760061025619507,0.3040705919265747,0.39699894189834595,0.31347358226776123,1.146233320236206,0.23630058765411377,1.0933295488357544,0.2889188826084137,1.1834784746170044,0.25244787335395813,1.2224663496017456,0.2581489086151123
14,0.1713663786649704,0.31625261902809143,0.39581212401390076,0.2608485221862793,0.435196191072464,0.2742652893066406,0.37601596117019653,0.31928011775016785,0.3731537163257599,0.3058065176010132,0.2093711942434311,0.3189350664615631,0.21696463227272034,0.29821670055389404,0.21748952567577362,0.316523015499115,0.2238263487815857,0.2903435528278351,0.3462664484977722,0.2746276557445526,0.37078776955604553,0.28364887833595276,0.35971686244010925,0.289933443069458,0.37049463391304016,0.30450356006622314,1.1246421337127686,0.23216113448143005,1.051304578781128,0.2833439111709595,1.1327937841415405,0.26767900586128235,1.1945894956588745,0.23171822726726532
15,0.16149459779262543,0.30278506875038147,0.39320021867752075,0.273219496011734,0.3875690996646881,0.2657279074192047,0.3552387058734894,0.2972402572631836,0.3633596897125244,0.31345775723457336,0.19581271708011627,0.2980923354625702,0.215426504611969,0.2911747694015503,0.209205761551857,0.3116636276245117,0.2080429494380951,0.30098894238471985,0.3681705892086029,0.2996206283569336,0.362506628036499,0.2899906039237976,0.3212999999523163,0.29408976435661316,0.3288784921169281,0.3119165897369385,0.934870183467865,0.166433185338974,1.0220963954925537,0.2875429093837738,1.122757077217102,0.26807859539985657,1.152095913887024,0.2556098401546478
16,0.15379534661769867,0.3310779631137848,0.3556503653526306,0.28573718667030334,0.35696232318878174,0.2723216712474823,0.3266139626502991,0.33639317750930786,0.3338833451271057,0.31854668259620667,0.1982010006904602,0.31082645058631897,0.1991875320672989,0.30482223629951477,0.20500896871089935,0.30686867237091064,0.2010868340730667,0.29944518208503723,0.3011815547943115,0.2636145353317261,0.33794257044792175,0.29008182883262634,0.2961810827255249,0.2955659031867981,0.3132213056087494,0.3083568811416626,0.8235962986946106,0.16041623055934906,1.0197759866714478,0.17146684229373932,1.0736157894134521,0.24808412790298462,1.1388334035873413,0.27195075154304504
17,0.1409028321504593,0.31020355224609375,0.35841840505599976,0.2742612659931183,0.351797878742218,0.2600659728050232,0.23583030700683594,0.26702025532722473,0.29267778992652893,0.32972195744514465,0.1754157692193985,0.31589627265930176,0.190576434135437,0.30257943272590637,0.20174351334571838,0.3455774188041687,0.18688099086284637,0.30807387828826904,0.300251841545105,0.27673155069351196,0.32273414731025696,0.313334584236145,0.2778799831867218,0.29372695088386536,0.8751654028892517,0.20457547903060913,0.775617778301239,0.1572921723127365,0.9194008111953735,0.19063831865787506,1.0459206104278564,0.25003498792648315,1.1115268468856812,0.2579101622104645
18,0.14416708052158356,0.3235042989253998,0.3327939510345459,0.26956790685653687,0.2773760259151459,0.2496768981218338,0.1909126341342926,0.26256757974624634,0.29730600118637085,0.3252209424972534,0.17360882461071014,0.3112446069717407,0.18331141769886017,0.3028191924095154,0.5275346636772156,0.2619898319244385,0.19223420321941376,0.2951551079750061,0.2848254442214966,0.27322113513946533,1.062573790550232,0.19105534255504608,0.2759537100791931,0.30402547121047974,0.697899341583252,0.19967368245124817,0.749813973903656,0.1632075160741806,0.8554778099060059,0.20083142817020416,1.026256799697876,0.2726597487926483,1.0699611902236938,0.2592146098613739
19,0.13283446431159973,0.32358893752098083,0.2789930999279022,0.2443823218345642,0.216175839304924,0.24236911535263062,0.1618339568376541,0.26264041662216187,0.2713353931903839,0.33594876527786255,0.4426409900188446,0.2640841007232666,0.175995334982872,0.3019716143608093,0.4349941909313202,0.2570929527282715,0.17264458537101746,0.31030523777008057,0.2759757339954376,0.2908559739589691,0.8756144642829895,0.18812888860702515,0.27636826038360596,0.30526018142700195,0.6279722452163696,0.20293357968330383,0.7035760283470154,0.16778114438056946,0.7861831188201904,0.19900324940681458,0.9777957797050476,0.2683146595954895,1.047135353088379,0.278181254863739
20,0.12500256299972534,0.3446897268295288,0.2258884459733963,0.24601531028747559,0.18870367109775543,0.22995153069496155,0.14412499964237213,0.2553054988384247,0.2740776240825653,0.3275039792060852,0.3607400953769684,0.2660929560661316,0.4914338290691376,0.26530399918556213,0.4042075276374817,0.24982593953609467,0.1693112552165985,0.30939677357673645,0.25629037618637085,0.3110937476158142,0.7942871451377869,0.18514809012413025,0.247825488448143,0.3011538088321686,0.6067822575569153,0.20156978070735931,0.6843852996826172,0.21294251084327698,0.7808653712272644,0.17531384527683258,0.9113617539405823,0.1862439662218094,1.0057692527770996,0.26531681418418884
21,0.12186978757381439,0.32479074597358704,0.2058480978012085,0.24232034385204315,0.16458158195018768,0.23389138281345367,0.13336212933063507,0.25721466541290283,0.2513894736766815,0.32371795177459717,0.3265393078327179,0.2595912516117096,0.36403688788414,0.26414090394973755,0.36208897829055786,0.26059332489967346,0.15898890793323517,0.2993515431880951,0.2446633130311966,0.31182506680488586,0.7770958542823792,0.18056270480155945,1.0492095947265625,0.19071069359779358,0.5509578585624695,0.20281246304512024,0.6488984227180481,0.15618157386779785,0.7247563004493713,0.18783022463321686,0.8016160726547241,0.21659690141677856,0.9800384640693665,0.2492479681968689
22,0.11393968015909195,0.3068011403083801,0.17677971720695496,0.24170494079589844,0.16126210987567902,0.23349890112876892,0.12370563298463821,0.27242788672447205,0.23785091936588287,0.27654069662094116,0.2969636917114258,0.26474708318710327,0.33740365505218506,0.27859964966773987,0.3337591886520386,0.26073747873306274,0.15142403542995453,0.3141155540943146,0.24379172921180725,0.2783116400241852,0.7254772782325745,0.1857788860797882,0.8772986531257629,0.19115039706230164,0.5191945433616638,0.21311016380786896,0.6160522699356079,0.16722720861434937,0.6958830952644348,0.20666593313217163,0.7433064579963684,0.20026670396327972,0.9460883140563965,0.26855888962745667
