,spatio-temporal None PL train,spatio-temporal None PL val,spatio-temporal X_st rnd d_c train,spatio-temporal X_st rnd d_c val,spatio-temporal X_st min d_c train,spatio-temporal X_st min d_c val,spatio-temporal X_st max d_c train,spatio-temporal X_st max d_c val,spatio-temporal X_st avg d_c train,spatio-temporal X_st avg d_c val,"spatio-temporal X_(t,s) rnd d_c train","spatio-temporal X_(t,s) rnd d_c val","spatio-temporal X_(t,s) min d_c train","spatio-temporal X_(t,s) min d_c val","spatio-temporal X_(t,s) max d_c train","spatio-temporal X_(t,s) max d_c val","spatio-temporal X_(t,s) avg d_c train","spatio-temporal X_(t,s) avg d_c val","spatio-temporal Y_hat_(t,s) rnd d_c train","spatio-temporal Y_hat_(t,s) rnd d_c val","spatio-temporal Y_hat_(t,s) min d_c train","spatio-temporal Y_hat_(t,s) min d_c val","spatio-temporal Y_hat_(t,s) max d_c train","spatio-temporal Y_hat_(t,s) max d_c val","spatio-temporal Y_hat_(t,s) avg d_c train","spatio-temporal Y_hat_(t,s) avg d_c val","spatio-temporal Y_(t,s) rnd d_c train","spatio-temporal Y_(t,s) rnd d_c val","spatio-temporal Y_(t,s) min d_c train","spatio-temporal Y_(t,s) min d_c val","spatio-temporal Y_(t,s) max d_c train","spatio-temporal Y_(t,s) max d_c val","spatio-temporal Y_(t,s) avg d_c train","spatio-temporal Y_(t,s) avg d_c val"
110,0.3883418142795563,0.37758803367614746,0.16238023340702057,0.3780938684940338,0.18913765251636505,0.40044647455215454,0.234582781791687,0.4279465675354004,0.27141180634498596,0.42693373560905457,0.5187520980834961,0.33776071667671204,0.30947035551071167,0.34426119923591614,0.23547455668449402,0.37629640102386475,0.20279552042484283,0.385904997587204,0.22359304130077362,0.386782169342041,0.18476040661334991,0.399352490901947,0.20098184049129486,0.3454730808734894,0.17538577318191528,0.42100510001182556,0.1473160833120346,0.4952584207057953,0.08687794208526611,0.5317476987838745,0.08372560888528824,0.5287644267082214,0.0853041410446167,0.5556363463401794
111,0.34806808829307556,0.4123633801937103,0.16190747916698456,0.4024834632873535,0.1784169226884842,0.38887372612953186,0.2842805087566376,0.47046250104904175,0.2605024576187134,0.4314107596874237,0.45705071091651917,0.34106308221817017,0.26886123418807983,0.3431493639945984,0.2216992825269699,0.365823894739151,0.20865993201732635,0.3894481658935547,0.20914338529109955,0.4179980754852295,0.17909355461597443,0.4392061233520508,0.19201384484767914,0.4258289039134979,0.1664198637008667,0.4034847617149353,0.12722015380859375,0.4947519898414612,0.08423437178134918,0.5279454588890076,0.07832176983356476,0.510826051235199,0.07971213757991791,0.5520272254943848
112,0.357516348361969,0.3599846065044403,0.16066297888755798,0.36246684193611145,0.18801453709602356,0.3819754123687744,0.18832658231258392,0.5271707773208618,0.26777639985084534,0.43147268891334534,0.3221534490585327,0.35145795345306396,0.3100512623786926,0.3449912667274475,0.5042588710784912,0.35660091042518616,0.20056688785552979,0.37611332535743713,0.20414948463439941,0.41840341687202454,0.1706075370311737,0.43846896290779114,0.18315275013446808,0.35757479071617126,0.16014650464057922,0.41618216037750244,0.11714918911457062,0.4952775537967682,0.08057916909456253,0.5286367535591125,0.07443593442440033,0.5352432727813721,0.07594194263219833,0.5503678321838379
113,0.29521408677101135,0.3426155149936676,0.15026672184467316,0.3754889965057373,0.17079423367977142,0.37180185317993164,0.2364942878484726,0.44608601927757263,0.2473842203617096,0.43757176399230957,0.4096468985080719,0.3970341980457306,0.23839062452316284,0.3382279872894287,0.38282865285873413,0.34591400623321533,0.18050746619701385,0.3755796551704407,0.1917644590139389,0.431164413690567,0.16564244031906128,0.4525516927242279,0.1757388412952423,0.35396796464920044,0.15523070096969604,0.40917226672172546,0.10989924520254135,0.48480984568595886,0.07833290845155716,0.5319229960441589,0.07181643694639206,0.5295001864433289,0.07171615958213806,0.5572142004966736
114,0.24738429486751556,0.35441380739212036,0.14324723184108734,0.3675648272037506,0.16452676057815552,0.3814935088157654,0.5156639218330383,0.452699214220047,0.2306499481201172,0.42162349820137024,0.33177611231803894,0.3304954767227173,0.25791895389556885,0.3941110670566559,0.33717459440231323,0.3648696839809418,0.6117714047431946,0.3580191135406494,0.1827162504196167,0.40916672348976135,0.15723957121372223,0.4429427683353424,0.169632226228714,0.3571913242340088,0.14800836145877838,0.42672574520111084,0.10368403792381287,0.4980637729167938,0.0761210024356842,0.5317180752754211,0.06891708076000214,0.5236295461654663,0.0698079764842987,0.5567729473114014
115,0.262238085269928,0.35493481159210205,0.1457432061433792,0.38121193647384644,0.15085139870643616,0.3895268142223358,0.4013775885105133,0.4428345561027527,0.2097950130701065,0.4206963777542114,0.28306037187576294,0.35618922114372253,0.24163149297237396,0.3412667512893677,0.3157638609409332,0.3748858869075775,0.4613669514656067,0.3460383713245392,0.17965932190418243,0.4207858741283417,0.15536046028137207,0.42243674397468567,0.1637769490480423,0.3874613046646118,0.14360472559928894,0.42288538813591003,0.09837034344673157,0.4931407868862152,0.12320868670940399,0.5384395718574524,0.06613054126501083,0.539490282535553,0.0672372579574585,0.5524731874465942
116,0.21422450244426727,0.34630075097084045,0.15752282738685608,0.3628557622432709,0.15536324679851532,0.4014505445957184,0.3538699746131897,0.4398861825466156,0.5848900675773621,0.40978193283081055,0.29352834820747375,0.3480040431022644,0.22728347778320312,0.3377310037612915,0.2965400516986847,0.36844247579574585,0.3980584740638733,0.4264651834964752,0.1750812530517578,0.4169538915157318,0.14958390593528748,0.45751821994781494,0.15804317593574524,0.3804006576538086,0.1394999772310257,0.4203754663467407,0.09439896047115326,0.4955730140209198,0.10803771018981934,0.5323871374130249,0.06438972800970078,0.5281381011009216,0.06521186232566833,0.5582730770111084
117,0.18950596451759338,0.36519762873649597,0.13774393498897552,0.37427642941474915,0.1669011116027832,0.3733629286289215,0.31380215287208557,0.4459031820297241,0.5041220784187317,0.42986568808555603,0.2957339286804199,0.3595838248729706,0.19950944185256958,0.4037437438964844,0.27478787302970886,0.3586996793746948,0.35347941517829895,0.34243133664131165,0.16709990799427032,0.42600730061531067,0.1445818841457367,0.4433434307575226,0.1521872878074646,0.37399545311927795,0.13529039919376373,0.4083998501300812,0.09119059145450592,0.4823257327079773,0.100216805934906,0.5359734892845154,0.06255800276994705,0.5367175340652466,0.06337159872055054,0.5567179918289185
118,0.1830618977546692,0.3792721629142761,0.3689582645893097,0.3805442452430725,0.14392714202404022,0.38394689559936523,0.2750386595726013,0.4223998486995697,0.4200955629348755,0.4404478669166565,0.26744338870048523,0.35114791989326477,0.47117164731025696,0.3286486566066742,0.2590962052345276,0.40902456641197205,0.3435297906398773,0.34141167998313904,0.16153179109096527,0.43428534269332886,0.1387762874364853,0.4524739980697632,0.21497830748558044,0.4060411751270294,0.13081982731819153,0.4246085286140442,0.08750513941049576,0.4917360544204712,0.09450434893369675,0.5352740287780762,0.0599963553249836,0.5275102853775024,0.06140841916203499,0.5493440628051758
119,0.1813238114118576,0.37775731086730957,0.3046874701976776,0.3463069796562195,0.15543700754642487,0.38562697172164917,0.2774558365345001,0.4187428951263428,0.3582437038421631,0.4301154613494873,0.24788321554660797,0.3433040976524353,0.34512272477149963,0.36910995841026306,0.25904932618141174,0.3584338426589966,0.28826120495796204,0.3525836765766144,0.1561756581068039,0.4191987216472626,0.13546372950077057,0.4590371549129486,0.19459231197834015,0.3997662663459778,0.127604678273201,0.4019661545753479,0.0838751569390297,0.4854409098625183,0.09126704931259155,0.5370727181434631,0.058863565325737,0.5335368514060974,0.05968785658478737,0.5597338080406189
